STATION,DATE,NAME,PRCP,SNOW,TMAX,TMIN
USC00414333,2/27/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,128,50
USC00414333,2/28/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,161,67
USC00414333,3/1/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",15,0,206,139
USC00414333,3/2/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3,0,272,161
USC00414333,3/3/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3,0,261,89
USC00414333,3/4/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,161,39
USC00414333,3/5/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,233,39
USC00414333,3/6/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,278,150
USC00414333,3/7/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,272,178
USC00414333,3/8/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,228,128
USC00414333,3/9/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,228,78
USC00414333,3/10/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,222,33
USC00414333,3/11/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,206,39
USC00414333,3/12/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,228,150
USC00414333,3/13/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,261,94
USC00414333,3/14/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,250,67
USC00414333,3/15/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,139,83
USC00414333,3/16/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",56,0,139,100
